origin,destination,departure_date,collection_date,advance_window_days,total_fare_inr,base_fare_inr,taxes_inr,udf_inr,convenience_fee_inr,carrier,flight_number,depart_time_local,fare_class,source_portal
BLR,HYD,2026-10-23,2026-09-08,45,18953.0,16734.0,2219.0,,,QP,QP1811,03:55,AV,akasa
BLR,HYD,2026-10-23,2026-09-08,45,18153.0,15972.0,2181.0,,,QP,QP1359,05:00,EC,akasa
BLR,HYD,2026-10-23,2026-09-08,45,18953.0,16734.0,2219.0,,,QP,QP1359,05:00,AV,akasa
BLR,HYD,2026-10-23,2026-09-08,45,18153.0,15972.0,2181.0,,,QP,QP1571,05:30,EC,akasa
BLR,HYD,2026-10-23,2026-09-08,45,18953.0,16734.0,2219.0,,,QP,QP1571,05:30,AV,akasa
BLR,HYD,2026-10-23,2026-09-08,45,18153.0,15972.0,2181.0,,,QP,QP1823,06:05,EC,akasa
BLR,HYD,2026-10-23,2026-09-08,45,18953.0,16734.0,2219.0,,,QP,QP1823,06:05,AV,akasa
BLR,HYD,2026-10-23,2026-09-08,45,19649.0,17396.0,2253.0,,,QP,QP1821,13:05,EC,akasa
BLR,HYD,2026-10-23,2026-09-08,45,20448.0,18157.0,2291.0,,,QP,QP1821,13:05,AV,akasa
BOM,BLR,2026-09-09,2026-09-08,1,5400.0,4122.0,1278.0,,,QP,QP1516,00:40,EC,akasa
BOM,BLR,2026-09-09,2026-09-08,1,5978.0,4672.0,1306.0,,,QP,QP1516,00:40,AV,akasa
BOM,BLR,2026-09-09,2026-09-08,1,5400.0,4122.0,1278.0,,,QP,QP1149,05:30,EC,akasa
BOM,BLR,2026-09-09,2026-09-08,1,5978.0,4672.0,1306.0,,,QP,QP1149,05:30,AV,akasa
BOM,BLR,2026-09-09,2026-09-08,1,5400.0,4122.0,1278.0,,,QP,QP1133,19:40,EC,akasa
BOM,BLR,2026-09-09,2026-09-08,1,5978.0,4672.0,1306.0,,,QP,QP1133,19:40,AV,akasa
BOM,BLR,2026-09-09,2026-09-08,1,7264.0,5898.0,1366.0,,,QP,QP1382,18:20,EC,akasa
BOM,BLR,2026-09-09,2026-09-08,1,7842.0,6448.0,1394.0,,,QP,QP1382,18:20,AV,akasa
BOM,BLR,2026-09-09,2026-09-08,1,7264.0,5898.0,1366.0,,,QP,QP1384,23:10,EC,akasa
BOM,BLR,2026-09-09,2026-09-08,1,7842.0,6448.0,1394.0,,,QP,QP1384,23:10,AV,akasa
BOM,BLR,2026-09-09,2026-09-08,1,7845.0,6451.0,1394.0,,,QP,QP1985,23:20,EC,akasa
BOM,BLR,2026-09-09,2026-09-08,1,8423.0,7001.0,1422.0,,,QP,QP1985,23:20,AV,akasa
BOM,BLR,2026-09-09,2026-09-08,1,8819.0,7379.0,1440.0,,,QP,QP1518,21:45,EC,akasa
BOM,BLR,2026-09-09,2026-09-08,1,9397.0,7929.0,1468.0,,,QP,QP1518,21:45,AV,akasa
BOM,BLR,2026-09-09,2026-09-08,1,11208.0,9654.0,1554.0,,,QP,QP1129,08:45,EC,akasa
BOM,BLR,2026-09-09,2026-09-08,1,11786.0,10204.0,1582.0,,,QP,QP1129,08:45,AV,akasa
BOM,BLR,2026-09-09,2026-09-08,1,12159.0,10559.0,1600.0,,,QP,QP1527,07:35,EC,akasa
BOM,BLR,2026-09-09,2026-09-08,1,12737.0,11109.0,1628.0,,,QP,QP1527,07:35,AV,akasa
BOM,BLR,2026-09-15,2026-09-08,7,6994.0,5640.0,1354.0,,,QP,QP1516,00:40,EC,akasa
BOM,BLR,2026-09-15,2026-09-08,7,7572.0,6190.0,1382.0,,,QP,QP1516,00:40,AV,akasa
BOM,BLR,2026-09-15,2026-09-08,7,6994.0,5640.0,1354.0,,,QP,QP1131,10:15,EC,akasa
BOM,BLR,2026-09-15,2026-09-08,7,7572.0,6190.0,1382.0,,,QP,QP1131,10:15,AV,akasa
BOM,BLR,2026-09-15,2026-09-08,7,6994.0,5640.0,1354.0,,,QP,QP1382,18:20,EC,akasa
BOM,BLR,2026-09-15,2026-09-08,7,7572.0,6190.0,1382.0,,,QP,QP1382,18:20,AV,akasa
BOM,BLR,2026-09-15,2026-09-08,7,7264.0,5898.0,1366.0,,,QP,QP1527,07:35,EC,akasa
BOM,BLR,2026-09-15,2026-09-08,7,7842.0,6448.0,1394.0,,,QP,QP1527,07:35,AV,akasa
BOM,BLR,2026-09-15,2026-09-08,7,8157.0,6747.0,1410.0,,,QP,QP1133,19:40,EC,akasa
BOM,BLR,2026-09-15,2026-09-08,7,8733.0,7297.0,1436.0,,,QP,QP1133,19:40,AV,akasa
BOM,BLR,2026-09-15,2026-09-08,7,8480.0,7056.0,1424.0,,,QP,QP1149,05:30,EC,akasa
BOM,BLR,2026-09-15,2026-09-08,7,9058.0,7606.0,1452.0,,,QP,QP1149,05:30,AV,akasa
BOM,BLR,2026-09-15,2026-09-08,7,8480.0,7056.0,1424.0,,,QP,QP1518,21:45,EC,akasa
BOM,BLR,2026-09-15,2026-09-08,7,9058.0,7606.0,1452.0,,,QP,QP1518,21:45,AV,akasa
BOM,BLR,2026-09-23,2026-09-08,15,5400.0,4122.0,1278.0,,,QP,QP1516,00:40,EC,akasa
BOM,BLR,2026-09-23,2026-09-08,15,5978.0,4672.0,1306.0,,,QP,QP1516,00:40,AV,akasa
BOM,BLR,2026-09-23,2026-09-08,15,5400.0,4122.0,1278.0,,,QP,QP1149,05:30,EC,akasa
BOM,BLR,2026-09-23,2026-09-08,15,5978.0,4672.0,1306.0,,,QP,QP1149,05:30,AV,akasa
